Interval,504.0000,usec
pin1,pin2,pin3
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,340
342,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,340
341,342,340
341,342,340
341,342,340
341,342,340
341,342,340
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,340
341,342,340
341,342,340
341,342,340
341,342,341
341,342,340
341,342,340
341,342,340
341,342,341
341,342,340
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,341
341,342,341
341,342,340
341,342,340
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,340
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
342,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,340
341,342,341
341,342,340
341,342,340
341,342,340
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,341
341,342,340
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,340
341,342,341
341,342,340
341,342,340
341,342,340
341,342,340
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,340
341,342,340
341,342,341
341,342,340
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,340
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,340
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
342,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
342,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
342,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
342,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
342,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
342,342,341
342,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
342,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
343,342,341
343,342,341
342,342,341
342,342,341
341,342,340
341,342,340
340,342,340
340,342,341
340,342,341
341,342,341
342,342,341
342,342,341
342,342,341
341,342,341
341,342,341
341,342,341
341,342,341
340,342,341
340,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,341
341,342,340
340,342,340
341,342,340
341,342,340
342,342,340
342,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
342,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,340
341,342,340
341,342,340
341,342,340
342,342,341
342,342,341
342,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
342,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
342,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
342,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
342,342,341
342,342,341
342,342,341
342,342,341
342,342,341
342,342,341
342,342,341
342,342,341
342,342,341
342,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
340,342,341
340,342,341
341,342,341
341,342,341
340,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
340,342,341
341,342,340
341,342,340
341,342,340
341,342,340
341,342,341
341,342,340
341,342,340
342,342,340
342,342,341
342,342,341
342,342,341
342,342,341
342,342,341
342,342,341
342,342,341
342,342,341
342,342,341
342,342,341
342,342,341
342,342,341
342,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,340
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
342,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,340
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,340
341,342,340
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,341
341,342,340
341,342,341
341,342,341
341,342,341
